track_id,playlist_id,artist,album,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
4RTPe8icsISnFUp3IvEX4j,37i9dQZF1DX0XUsuxWHRQd,DDG,If I Want You,If I Want You,0.645,0.456,4,-9.208,0,0.054,0.000125,0.195,0.078,75.027,193101,4,rap
6Bl1k7SZTP5gkfLPjkIwtx,37i9dQZF1DX0XUsuxWHRQd,Yo Gotti,"Steppers (with Yo Gotti, Moneybagg Yo, 42 Dugg feat. EST Gee, Mozzy, Blac Youngsta, CMG The Label)","Steppers (with Yo Gotti, Moneybagg Yo, 42 Dugg feat. EST Gee, Mozzy, Blac Youngsta, CMG The Label)",0.786,0.637,2,-6.608,1,0.338,0,0.316,0.426,79.986,231085,4,dirty south rap
5gcsJvWzuPMeJBQYdiO0RS,37i9dQZF1DX0XUsuxWHRQd,SleazyWorld Go,Step 1,Step 1 (with Offset),0.672,0.58,2,-5.66,1,0.234,0,0.103,0.116,111.55,177731,3,unknown
6JbrcjoMVBBNZllVOiHBcU,37i9dQZF1DX0XUsuxWHRQd,Lil Durk,7220 (Deluxe),Burglars & Murderers (feat. EST Gee),0.774,0.551,1,-5.862,1,0.0854,0,0.109,0.0858,137.932,160034,4,chicago drill
3umPlMokEzAFxJO33tNdlY,37i9dQZF1DX0XUsuxWHRQd,42 Dugg,IDGAF,IDGAF,0.514,0.611,4,-8.227,1,0.287,0,0.312,0.311,108.666,138673,5,detroit trap
1NtyeXryylf8HWXnxVTD3v,37i9dQZF1DX0XUsuxWHRQd,Rod Wave,Beautiful Mind,Yungen (feat. Jack Harlow),0.614,0.744,11,-5.52,1,0.125,1.14e-06,0.173,0.589,146.02,226115,4,florida rap
1OdXwV1ZqMDuMKsPThVfSB,37i9dQZF1DX0XUsuxWHRQd,Quavo,Big Stunna (feat. Birdman),Big Stunna (feat. Birdman),0.79,0.551,1,-7.538,1,0.0552,0,0.164,0.266,150.054,217613,4,atl hip hop
5HN3ikspb1MOyJ0MMjn55I,37i9dQZF1DX0XUsuxWHRQd,Southside,Save Me (feat. Lil Durk),Save Me (feat. Lil Durk),0.779,0.508,1,-9.505,1,0.349,0,0.122,0.385,159.994,173987,4,atl hip hop
6vA7RdHmU23h3ygUPPFXz5,37i9dQZF1DX0XUsuxWHRQd,Megan Thee Stallion,Traumazine,Ungrateful (feat. Key Glock),0.94,0.606,1,-5.826,1,0.195,0,0.18,0.507,130.0,154433,4,dance pop
7rQ84WsT2Wcnrz5gTmbGmw,37i9dQZF1DX0XUsuxWHRQd,Trippie Redd,Big 14 (feat. Offset & Moneybagg Yo),Big 14 (feat. Offset & Moneybagg Yo),0.71,0.828,1,-4.725,1,0.0726,0,0.168,0.316,128.027,247458,4,melodic rap
5ie5OPdaP9fivYaKcjwKF1,37i9dQZF1DX0XUsuxWHRQd,Rod Wave,Beautiful Mind,Alone,0.596,0.545,3,-6.911,0,0.0368,0,0.0811,0.0923,82.07,191159,4,florida rap
0oPpchtgx4hZ2J246g5mqn,37i9dQZF1DX0XUsuxWHRQd,YoungBoy Never Broke Again,The Last Slimeto,Home Ain't Home (feat. Rod Wave),0.773,0.602,0,-6.777,1,0.173,0,0.125,0.553,82.055,141166,4,baton rouge rap
60pZpM5WjUBQvaQ5E37XW6,37i9dQZF1DX0XUsuxWHRQd,JID,The Forever Story,Bruddanem (feat. Lil Durk),0.765,0.501,4,-6.64,0,0.252,0,0.135,0.721,130.173,235424,4,hip hop
3SeeaIXnrCfT88vHVCRWHl,37i9dQZF1DX1lVhptIYRda,Jon Pardi,Last Night Lonely,Last Night Lonely,0.646,0.816,6,-2.65,1,0.0269,0,0.179,0.865,102.972,181991,4,contemporary country
6Tm4Io4ct4w14nB1EUzsY3,37i9dQZF1DX1lVhptIYRda,Nate Smith,Whiskey On You,Whiskey On You,0.479,0.768,8,-5.204,1,0.0312,0.00549,0.121,0.576,110.024,183790,4,contemporary country
7xNYZeFtrB05pi9tc6lEeb,37i9dQZF1DX1lVhptIYRda,Gabby Barrett,Pick Me Up,Pick Me Up,0.472,0.701,2,-4.563,1,0.0369,0,0.107,0.515,79.805,169440,4,contemporary country
6HBRLaSQ7NB8MNlaqzYen1,37i9dQZF1DX1lVhptIYRda,Jordan Davis,What My World Spins Around,What My World Spins Around,0.675,0.726,2,-6.459,1,0.0461,0,0.153,0.671,124.872,186791,4,contemporary country
1S55d7hhptRt8PS6nC1fSY,37i9dQZF1DX1lVhptIYRda,Kelsea Ballerini,HEARTFIRST,HEARTFIRST,0.662,0.855,0,-3.742,1,0.0457,0,0.228,0.84,120.079,187017,4,contemporary country
6VVqPBFZIbcmv14zNfOc13,37i9dQZF1DX1lVhptIYRda,Russell Dickerson,She Likes It (feat. Jake Scott),She Likes It (feat. Jake Scott),0.79,0.325,4,-11.689,1,0.127,0,0.155,0.539,126.877,163311,4,contemporary country
28n8z9IQKyjMPxmvYMBqZa,37i9dQZF1DX1lVhptIYRda,Luke Combs,The Kind of Love We Make,The Kind of Love We Make,0.608,0.745,1,-4.13,1,0.0277,6.47e-06,0.0942,0.464,102.025,224427,4,contemporary country
0ODaBMQ3tbTefbmbMWTwdT,37i9dQZF1DX1lVhptIYRda,Danielle Bradbery,Stop Draggin' Your Boots,Stop Draggin' Your Boots,0.463,0.76,2,-5.958,1,0.11,0,0.115,0.65,123.899,164347,4,contemporary country
5AihIu9yF3flkw1jFMyfwW,37i9dQZF1DX1lVhptIYRda,Cody Johnson,Human The Double Album,Human,0.4,0.647,2,-7.279,1,0.0337,5.79e-05,0.11,0.274,84.08,221520,4,contemporary country
